event,gen,elapsedSec,bestCost,delta,popBestCost,poolSize,instance,edgeType,nCities,populationN,maxIter,survivorsFrac,crossoverFrac,mutationFrac,pc,pm,elitismFrac,tournamentK,useSCX,twoOptProb,stallGenerations,timeLimitSec,seed,lpEdgeVars,lpDegreeCons
meta,0,0.000000,3660,,3660,,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,1,8.215255,3363,297,3363,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,2,12.053277,3336,27,3336,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,3,15.655850,3256,80,3256,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,5,24.888521,3233,23,3233,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,6,29.360214,3231,2,3231,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,7,31.684164,3208,23,3208,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,8,33.907266,3190,18,3190,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,14,46.197587,3186,4,3186,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,22,62.162625,3182,4,3182,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,28,74.216635,3181,1,3181,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,35,88.404863,3177,4,3177,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
improve,185,341.114201,3176,1,3176,89,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
stop,13531,28802.141473,3176,,3176,,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
end,13531,28802.828871,3176,,3176,,cereza,EUC_2D,189,700,999999,0.150000,0.550000,0.300000,0.950000,0.005291,0.020000,3,1,0.150000,999999,28800.000000,13,17766,189
